"","year_end","fran_id","id","MaxElo","tot_sal","tot_spMP","tot_spWS","tot_spBPM","tot_spPTS","tot_spPER","tot_spVORP","tot_spUSG","avg_sal","avg_spMP","avg_spWS","avg_spBPM","avg_spPTS","avg_spPER","avg_spVORP","avg_spUSG","max_sal","max_spMP","max_spWS","max_spBPM","max_spPTS","max_spPER","max_spVORP","max_spUSG","min_sal","min_spMP","min_spWS","min_spBPM","min_spPTS","min_spPER","min_spVORP","min_spUSG","std_sal","std_spMP","std_spWS","std_spBPM","std_spPTS","std_spPER","std_spVORP","std_spUSG"
"33",1992,"Cavaliers","CLE-1992",1680.9753,11351000,8278.66911278909,6654728.74994338,5808258.14072469,19776.9407312473,749345.859684909,-14861189.2962424,553603.345210466,1135100,827.866911278909,665472.874994338,580825.814072469,1977.69407312473,74934.5859684909,-1486118.92962424,55360.3345210466,2843000,3034.151547492,2186923.07692308,5530000,8216.76300578035,253839.285714286,1106000,150423.28042328,2e+05,327.102803738318,111721.31147541,-947666.666666667,867.768595041322,19801.9801980198,-14215000,9900.9900990099,856407.931096183,793.254637246737,709813.295238808,1792492.23625618,2224.98616227342,66320.4293619955,4538323.63654806,42347.3392709478
"34",1992,"Mavericks","DAL-1992",1412.4019,11124000,7983.74660347444,14438738.2983457,-9847605.99111834,22491.409496004,852226.785987419,-4247730.15873016,546295.523638929,1011272.72727273,725.795145770404,1312612.57257688,-895236.908283485,2044.67359054582,77475.1623624927,-386157.287157287,49663.2294217208,1920000,1831.4479638009,6e+06,2464285.71428571,6521.73913043478,126050.420168067,2742857.14285714,79362.7450980392,130000,122.873345935728,84090.9090909091,-10250000,305.164319248826,9420.28985507246,-7500000,6806.28272251309,634190.521989897,528.576782863027,1719471.2048665,3292126.91268803,1908.43338090805,41530.3158058346,2836051.24622682,26140.385427066
"35",1992,"Nuggets","DEN-1992",1385.2906,10731000,12630.07654843,15606056.7378024,-909560.373847858,41482.4302708698,925100.25216993,Inf,603569.88459894,825461.538461538,971.544349879228,1200465.90290788,-69966.1826036814,3190.95617468229,71161.5578592254,Inf,46428.4526614569,2008000,4173.91304347826,6250000,1432142.85714286,14117.6470588235,159365.079365079,Inf,99751.2437810945,215000,162.028211971026,-1212500,-563461.538461538,288.331071913161,12951.8072289157,-5e+06,8022.38805970149,615802.676104477,1135.27003923557,1922389.20571806,482104.127470246,4088.12937922445,47897.9076315885,NA,28802.1122544652
"36",1992,"Warriors","GSW-1992",1605.2174,12500000,17493.3492902288,Inf,-6935427.40146188,52408.0261355975,900894.805033096,Inf,679221.971769645,961538.461538462,1345.64225309453,Inf,-533494.415497068,4031.38662581519,69299.6003871612,Inf,52247.8439822804,2844000,5538.46153846154,Inf,1407777.77777778,21767.4418604651,142914.572864322,Inf,120508.474576271,130000,77.5193798449612,29545.4545454545,-7e+06,209.677419354839,9489.05109489051,-13330000,9285.71428571429,712987.916609229,1709.49773234174,NA,2068785.09805687,6353.31619708115,41902.0449855891,NA,33893.7271854989
"37",1992,"Rockets","HOU-1992",1573.675,12616000,10337.4148402734,2797301.04718976,-3161916.57305437,32835.2169296996,924699.031479341,32208541.67818,703705.07735347,1051333.33333333,861.451236689446,233108.420599147,-263493.047754531,2736.26807747496,77058.2526232784,2684045.13984833,58642.0897794558,3170000,2222.22222222222,4200000,714400,9586.53846153846,133755.274261603,16330000,131184.210526316,275000,120.37037037037,-6150000,-907222.222222222,236.880466472303,21825.3968253968,-2800000,13374.4855967078,852681.474508328,641.487458202237,2318516.14222206,524539.843917015,2624.4190436635,42073.6273992905,5755487.61950728,40636.4283439568
"38",1992,"Pacers","IND-1992",1549.6445,14230000,13574.5203387946,Inf,4032007.0547871,55634.9085207161,1108756.25452345,Inf,782633.886052611,1094615.38461538,1044.19387221497,Inf,310154.388829777,4279.60834774739,85288.9426556497,Inf,60202.6066194316,3211000,4782.60869565217,Inf,5390000,32352.9411764706,183486.23853211,Inf,158960.396039604,130000,181.818181818182,-260000,-1e+06,420.875420875421,13131.3131313131,-9900000,4024.76780185759,893769.595445935,1188.26202079488,NA,1618733.9272348,8573.30907561722,58467.2766692418,NA,43907.3846341778
"39",1992,"Clippers","LAC-1992",1572.8749,12416000,14123.3681439917,11715000.0794792,-4633502.61619799,35459.8239879008,901149.129818489,12007627.3399803,609159.115210111,1034666.66666667,1176.94734533264,976250.006623264,-386125.218016499,2954.98533232506,75095.7608182074,1000635.61166502,50763.2596008426,2300000,4151.62454873646,11500000,1195000,10267.8571428571,126373.626373626,7500000,99567.0995670996,130000,408.942202835333,-1300000,-5750000,1103.67892976589,20930.2325581395,-5750000,5263.15789473684,578797.866009343,1149.73560693834,3357252.69965001,1799056.73425526,3061.02740799428,31620.3344883173,3465333.99027152,25743.4865642949
"40",1992,"Lakers","LAL-1992",1632.7195,10766000,7698.08509267593,Inf,7243304.48716157,21519.0409136847,746172.112703812,2283665.96638655,544747.376323503,978727.272727273,699.825917515994,Inf,658482.226105597,1956.27644669861,67833.8284276193,207605.996944232,49522.4887566821,2507000,1625,Inf,2500000,5000,142443.181818182,1177500,127258.883248731,130000,199.348534201954,-1e+06,-958333.333333333,493.548387096774,12621.359223301,-1300000,6190.47619047619,737055.234145867,412.142840326988,NA,1065114.17557158,1400.01823178284,37965.6717229109,923406.597345059,37308.8511339632
"41",1992,"Heat","MIA-1992",1442.2875,9879000,47146.3986226065,Inf,-3831174.42608283,124938.40051815,738059.195303413,Inf,497115.279463119,898090.909090909,4286.03623841877,Inf,-348288.584189348,11358.0364107409,67096.2904821285,Inf,45192.2981330108,2250000,41625,Inf,1085000,111000,180000,Inf,112500,202000,82.2722820763957,32727.2727272727,-2002000,207.920792079208,14825.1748251748,-7010000,10707.0707070707,760190.825325517,12389.3756910295,NA,831825.649391429,33060.9620553333,54901.2816359056,NA,35698.8313554548
"42",1992,"Bucks","MIL-1992",1526.9202,12321000,9035.36139160194,6798780.03785712,1899111.2222401,24160.6969708081,874436.119547715,Inf,662617.976909877,1026750,752.946782633495,566565.00315476,158259.268520008,2013.39141423401,72869.6766289763,Inf,55218.1647424898,1600000,2203.85674931129,1777777.77777778,1.6e+07,6666.66666666667,149532.710280374,Inf,98159.509202454,350000,327.380952380952,131034.482758621,-10550000,766.902119071645,31531.5315315315,-5333333.33333333,16355.1401869159,386118.475694608,526.336392062329,570029.103291031,5864118.28633139,1710.21425848447,29303.1045992642,NA,24411.5439231075
