"year_end","team_id","fran_id","elo_n"
1991,"UTA","Jazz",1540.2828
1991,"DEN","Nuggets",1401.2214
1991,"CHI","Bulls",1621.7406
1991,"GSW","Warriors",1479.5055
1991,"BKN","Nets",1308.6371
1991,"ORL","Magic",1284.3
1991,"LAL","Lakers",1611.3781
1991,"CHA","Hornets",1387.1467
1991,"MIA","Heat",1330.6731
1991,"MIL","Bucks",1539.2761
1991,"NYK","Knicks",1483.3401
1991,"WAS","Wizards",1364.0123
1991,"IND","Pacers",1443.0477
1991,"SAC","Kings",1321.5514
1991,"DET","Pistons",1678.1165
1991,"ORL","Magic",1275.3457
1991,"LAC","Clippers",1385.5981
1991,"MIN","Timberwolves",1377.6821
1991,"HOU","Rockets",1549.3781
1991,"POR","Trailblazers",1672.3214
1991,"SAS","Spurs",1620.4869
1991,"BOS","Celtics",1593.8335
1991,"MIA","Heat",1328.139
1991,"ATL","Hawks",1458.0968
1991,"DET","Pistons",1689.7164
1991,"DEN","Nuggets",1405.2153
1991,"ORL","Magic",1271.3518
1991,"LAC","Clippers",1383.5098
1991,"HOU","Rockets",1551.4664
1991,"MIL","Bucks",1544.7063
1991,"IND","Pacers",1437.6176
1991,"BKN","Nets",1320.6588
1991,"PHI","Sixers",1536.092
1991,"CLE","Cavaliers",1537.0352
1991,"NYK","Knicks",1474.8282
1991,"POR","Trailblazers",1650.9662
1991,"PHO","Suns",1628.9382
1991,"MIN","Timberwolves",1389.037
1991,"SAC","Kings",1310.1965
1991,"OKC","Thunder",1451.2485
1991,"SAS","Spurs",1630.1982
1991,"WAS","Wizards",1369.1228
1991,"GSW","Warriors",1474.395
1991,"CHA","Hornets",1397.4133
1991,"MIL","Bucks",1534.4397
1991,"WAS","Wizards",1365.75
1991,"CHI","Bulls",1625.1134
1991,"CLE","Cavaliers",1529.0551
1991,"GSW","Warriors",1482.3751
1991,"DAL","Mavericks",1493.8542
1991,"LAC","Clippers",1377.0908
1991,"NYK","Knicks",1472.9424
1991,"DET","Pistons",1691.6023
1991,"SAS","Spurs",1619.6005
1991,"LAL","Lakers",1621.9758
1991,"MIA","Heat",1337.9584
1991,"BKN","Nets",1310.8395
1991,"PHI","Sixers",1540.4241
1991,"IND","Pacers",1433.2855
1991,"UTA","Jazz",1547.9913
1991,"HOU","Rockets",1543.7579
1991,"DEN","Nuggets",1409.072
1991,"SAC","Kings",1306.3398
1991,"OKC","Thunder",1447.0565
1991,"PHO","Suns",1633.1302
1991,"MIN","Timberwolves",1386.7251
1991,"POR","Trailblazers",1653.2781
1991,"CLE","Cavaliers",1539.1255
1991,"ATL","Hawks",1448.0264
1991,"WAS","Wizards",1361.4204
1991,"BOS","Celtics",1598.1631
1991,"CHI","Bulls",1630.548
1991,"IND","Pacers",1427.851
1991,"DET","Pistons",1693.1362
1991,"PHI","Sixers",1538.8901
1991,"MIL","Bucks",1538.3156
1991,"NYK","Knicks",1469.0665
1991,"ORL","Magic",1266.4451
1991,"GSW","Warriors",1487.2819
1991,"MIN","Timberwolves",1382.3192
1991,"UTA","Jazz",1552.3972
1991,"CHI","Bulls",1655.8029
1991,"CLE","Cavaliers",1513.8706
1991,"DEN","Nuggets",1387.6544
1991,"LAC","Clippers",1398.5084
1991,"SAC","Kings",1302.6624
1991,"HOU","Rockets",1547.4354
1991,"MIA","Heat",1321.6642
1991,"GSW","Warriors",1503.576
