"id","MaxElo","tot_sal","tot_spMP","tot_spWS","tot_spBPM","tot_spPTS","tot_spPER","tot_spVORP","tot_spUSG","avg_sal","avg_spMP","avg_spWS","avg_spBPM","avg_spPTS","avg_spPER","avg_spVORP","avg_spUSG","max_sal","max_spMP","max_spWS","max_spBPM","max_spPTS","max_spPER","max_spVORP","max_spUSG","min_sal","min_spMP","min_spWS","min_spBPM","min_spPTS","min_spPER","min_spVORP","min_spUSG","std_sal","std_spMP","std_spWS","std_spBPM","std_spPTS","std_spPER","std_spVORP","std_spUSG","sal_C","sal_PF","sal_PG","sal_SF","sal_SG","sal_Bench","sal_Start"
"SAS-1991",1669.0737,101656219.3581,78364.1770238826,1795184.13463974,1978005.64926534,1861461.58686135,3895833.07238125,2056796.30273027,5240498.4460997,7819709.18139227,6028.01361722174,138091.08727998,152154.280712718,143189.352835489,299679.46710625,158215.100210021,403115.265084592,20824033.358605,12247.5582314499,333563.779378317,362777.862016679,303239.799434833,1779006.82335102,358802.099071038,929713.5214795,459691.68562042,479.344823378957,9774.76276566498,14825.0568612585,11259.5368566521,8431.3119590096,30152.6580228988,28376.0299765691,6459998.71471406,3620.29801400531,87489.2092512071,92900.0377470779,83340.366276576,463862.173800287,103386.680137384,290182.871099561,"25604826.8890574","32150836.4922921","4137225.17058378","17927975.7391964","21835355.0669699",36839691.6856204,64816527.6724791
"UTA-1991",1623.8385,97868359.8685874,71090.6741119146,1857554.83947433,1884085.76055781,1680043.88925458,2835368.66810653,2854119.80807099,6046315.02685614,8155696.65571562,5924.22284265955,154796.23662286,157007.146713151,140003.657437882,236280.722342211,237843.317339249,503859.585571345,20778064.190043,24336.6186504928,487792.193499475,392767.740220355,395334.849633562,889503.411675512,1512155.79984837,2419429.924318,459691.68562042,1563.57716197422,18925.6045037343,17105.8348399137,24040.6327479868,49673.5671455155,14582.0231422215,28730.7303512762,7276379.84888361,6165.48987232423,129579.232713623,108025.921288823,102822.509582203,234314.990194066,407936.09980675,657987.105537389,"26432271.9231741","29971897.9024514","20364341.6729846","4413040.18195603","16227116.5024008",28592822.8455901,69275537.0229973
"WAS-1991",1466.1833,88352741.9762446,70735.2650677633,1754492.12449247,1996503.80263069,1722614.52541447,1893001.26689602,6599721.37578911,5094943.0062094,6796364.76740343,5441.1742359818,134960.932653267,153577.215586976,132508.809647267,145615.482068925,507670.875060701,391918.692785338,21145817.5385393,10910.4039308644,297579.323178717,508287.663814578,320918.877937832,334871.872630781,2587646.28851058,1170912.78412748,1103260.04548901,542.409068578668,18483.1877750756,22590.5628362035,19060.7873930467,30280.9672059749,20929.4920394238,76086.8996888972,5542823.43947842,3614.43880901219,81274.6623002709,128867.922195757,85342.9478436135,101211.42424201,824235.308828707,358385.226492236,"27351655.294415","18847359.1104372","6711498.61005813","23903967.6522618","11538261.3090725",56358200.6570634,31994541.3191812
"ATL-1992",1527.3722,112894416,426273.963897867,2801139.49701855,3071939.20419982,3467124.51499751,3746949.20872442,2025398.69010547,6349013.00992517,8684185.84615385,32790.3049152205,215472.269001427,236303.015707679,266701.885769039,288226.862209571,155799.899238882,488385.61614809,27066720,272850,624119.11111111,1248238.22222222,1404268,1685121.60000001,460599.904,1800247.42268041,1091400,635.273573923167,15957.5909090909,11380.041974026,16079.4045801527,11350.56,14476.9896907217,45402.24,7263227.15492856,75673.843604491,188242.302752433,324465.271561076,367989.119183539,451727.208482505,131358.760802804,483053.624447595,"38094225.6","6330120","26411880","31432320","10625870.4",49305086.4,63589329.6
"BKN-1992",1510.2008,101762136,66399.7427956926,1752187.53648544,2189671.29064409,1607117.47990476,1655450.67781125,3468259.51548783,4955905.76359608,8480178,5533.31189964105,146015.628040453,182472.607553674,133926.45665873,137954.223150937,289021.626290653,412992.14696634,20081760,14696.7160220994,509157.40244628,555027.438702703,324252.872084211,340375.943071823,1466858.23085715,800070.119521912,1178712,1970.3453689168,45957.8618181818,46379.4935779817,56050.5687272727,31816.9812587413,34157.8702702703,49318.4937238494,6473476.9201923,3642.70292013027,130331.404396385,136753.127764654,85631.4157562358,86823.293466429,409007.445339164,273995.594254163,"27372312","27503280","20981073.6","8390683.2","17514787.2",41516856,60245280
"BOS-1992",1643.3167,201254160,178667.985556197,2950507.36794208,2651244.04952945,3450801.76118324,2636323.87013847,2842317.91416583,9454621.63478278,15481089.2307692,13743.6911966305,226962.105226314,203941.849963804,265446.289321787,202794.143856805,218639.839551217,727278.587290983,61729584,52784.0727272727,749296.208301887,632032.345464191,836056.821894737,643989.714162163,671200.547154929,2499173.44129555,1135056,2756.69345579793,54090.322962963,39471.3167567568,78291.0477876106,25325.5269364162,29603.4875675676,67967.4251497006,17247725.7418127,15031.491993636,195492.260676007,172086.050466647,220265.285028582,162972.89868011,186544.969859352,680850.202526102,"40294488","38417280","14843040","78537144","29162208",60987432,140266728
"CHA-1992",1481.7877,98531592,76608.3306926031,1770458.82882445,2045478.54603207,1755495.81417185,1711129.91690248,2115997.74838463,5064299.11679813,9853159.2,7660.83306926031,177045.882882445,204547.854603207,175549.581417185,171112.991690248,211599.774838463,506429.911679813,17069496,32370.1803607214,515285.117355371,617321.774257425,556691.957142857,329891.53015873,546925.431578947,863781.818181818,1135056,1332.22535211268,36209.2244628099,29404.8064429531,25924.9476923077,23181.566984127,38432.5978947368,51128.6486486487,5527028.52769872,9006.03764935032,133713.801586069,163226.610691686,146234.179832271,100271.104021425,172163.06127317,255267.635351047,"32462601.6","21050923.2","7910467.2","11664883.2","25442716.8",42381244.8,56150347.2
"CHI-1992",1782.1224,144265617.6,203069.750210726,2109698.10073251,3436578.8007894,2917166.87769497,7532182.60752242,3011392.25486898,7794044.87352431,11097355.2,15620.7500162097,162284.469287116,264352.215445338,224397.452130382,579398.66211711,231645.558066845,599541.913348024,28376400,114475.733333333,296937.726872247,994221.744000003,497110.871999999,3976886.97600001,842560.799999999,1154538.84297521,1030281.6,2025.6384,48868.5264,38802.1421052632,55114.8793984962,45194.8321839081,20394.2921846154,35773.6666666667,8478453.77791693,29850.1158251582,79349.2894195689,249839.807097776,115851.163826171,1050215.03987458,217083.864746609,386567.390368243,"22858281.6","39726960","17767992","24185424","39726960",44991873.6,99273744
"CLE-1992",1680.9753,99107851.2,72282.715757584,1724572.46307906,2390018.36899359,1697107.52497922,1962538.14319377,8456608.4264395,4833621.52770163,9910785.12,7228.2715757584,172457.246307906,239001.836899359,169710.752497922,196253.814319377,845660.84264395,483362.152770163,24822801.6,26491.7839914621,573748.58788024,684400.101257142,602616.44135849,778991.985170731,3370243.20000001,1313375.74603175,1746240,2856,83215.8814814816,66562.3032,82296.6362790697,64267.0513655172,59127.0736842105,86447.5247524752,7477468.92798699,6926.06488872869,145348.96292474,207165.45828924,156611.863964821,209871.261013529,1310528.82713538,369743.088642502,"19601544","36723427.2","22683657.6","4164782.4","15934440",46257897.6,52849953.6
"DAL-1992",1412.4019,97125868.8,69707.6883442561,2264679.16192498,2648237.13555224,1786699.6560867,2315134.3225955,7666021.34722701,4769815.47599621,8829624.43636364,6337.06257675055,205879.923811362,240748.830504749,162427.241462427,210466.756599591,696911.031566091,433619.588726928,16763904,15990.7384615385,366330.782608695,565011.360000001,341026.4838,546525.924324325,3322498.088,692932,1135056,1072.83175803403,25036.0923428572,26879.2402453988,24206.1666298342,19049.2006956522,28340.6814545455,59427.0157068063,5537244.28559819,4615.10960653368,122659.720884111,178914.424138803,100714.751121536,149423.510880722,1097701.65286984,228236.933240799,"10329009.6","25032350.4","21915312","8949480","30899716.8",51880790.4,45245078.4
