"year_end","team_id","fran_id","elo_n","MaxElo"
1999,"MIN","Timberwolves",1561.239,1561.239
1999,"NYK","Knicks",1632.0685,1632.0685
1999,"OKC","Thunder",1604.0139,1604.0139
1999,"ORL","Magic",1628.1917,1628.1917
1999,"PHI","Sixers",1577.5002,1577.5002
1999,"PHO","Suns",1600.182,1600.182
1999,"POR","Trailblazers",1625.8916,1625.8916
1999,"SAC","Kings",1489.7905,1489.7905
1999,"SAS","Spurs",1755.5758,1755.5758
1999,"TOR","Raptors",1479.2946,1479.2946
1999,"UTA","Jazz",1718.8506,1718.8506
1999,"VAN","Grizzlies",1317.8146,1317.8146
1999,"WAS","Wizards",1512.1384,1512.1384
2000,"ATL","Hawks",1546.3076,1546.3076
2000,"BKN","Nets",1536.2495,1536.2495
2000,"BOS","Celtics",1497.0913,1497.0913
2000,"CHA","Hornets",1628.1716,1628.1716
2000,"CHI","Bulls",1385.8768,1385.8768
2000,"CLE","Cavaliers",1497.0687,1497.0687
2000,"DAL","Mavericks",1553.5273,1553.5273
2000,"DEN","Nuggets",1450.5065,1450.5065
2000,"DET","Pistons",1592.7075,1592.7075
2000,"GSW","Warriors",1425.0591,1425.0591
2000,"HOU","Rockets",1507.833,1507.833
2000,"IND","Pacers",1670.9791,1670.9791
2000,"LAC","Clippers",1360.9327,1360.9327
2000,"LAL","Lakers",1779.2869,1779.2869
2000,"MIA","Heat",1630.6974,1630.6974
2000,"MIL","Bucks",1573.9114,1573.9114
2000,"MIN","Timberwolves",1608.4392,1608.4392
2000,"NYK","Knicks",1615.8202,1615.8202
2000,"OKC","Thunder",1554.6842,1554.6842
2000,"ORL","Magic",1554.1774,1554.1774
2000,"PHI","Sixers",1602.0159,1602.0159
2000,"PHO","Suns",1662.8121,1662.8121
2000,"POR","Trailblazers",1719.2051,1719.2051
2000,"SAC","Kings",1572.8068,1572.8068
2000,"SAS","Spurs",1723.0023,1723.0023
2000,"TOR","Raptors",1550.0267,1550.0267
2000,"UTA","Jazz",1655.4531,1655.4531
2000,"VAN","Grizzlies",1397.2562,1397.2562
2000,"WAS","Wizards",1461.1423,1461.1423
2001,"ATL","Hawks",1401.2633,1401.2633
2001,"BKN","Nets",1469.3268,1469.3268
2001,"BOS","Celtics",1512.2125,1512.2125
2001,"CHA","Hornets",1630.8579,1630.8579
2001,"CHI","Bulls",1316.6208,1316.6208
2001,"CLE","Cavaliers",1499.5048,1499.5048
2001,"DAL","Mavericks",1654.24,1654.24
2001,"DEN","Nuggets",1542.9404,1542.9404
2001,"DET","Pistons",1529.743,1529.743
2001,"GSW","Warriors",1389.1722,1389.1722
2001,"HOU","Rockets",1604.0952,1604.0952
2001,"IND","Pacers",1624.8798,1624.8798
2001,"LAC","Clippers",1464.2102,1464.2102
2001,"LAL","Lakers",1778.8915,1778.8915
2001,"MIA","Heat",1627.0229,1627.0229
2001,"MIL","Bucks",1646.4963,1646.4963
2001,"MIN","Timberwolves",1596.7843,1596.7843
2001,"NYK","Knicks",1595.0752,1595.0752
2001,"OKC","Thunder",1559.8879,1559.8879
2001,"ORL","Magic",1562.1825,1562.1825
2001,"PHI","Sixers",1659.3602,1659.3602
2001,"PHO","Suns",1630.1307,1630.1307
2001,"POR","Trailblazers",1694.6836,1694.6836
2001,"SAC","Kings",1675.2919,1675.2919
2001,"SAS","Spurs",1734.5629,1734.5629
2001,"TOR","Raptors",1594.991,1594.991
2001,"UTA","Jazz",1656.2094,1656.2094
2001,"VAN","Grizzlies",1431.6094,1431.6094
2001,"WAS","Wizards",1461.1727,1461.1727
2002,"ATL","Hawks",1442.723,1442.723
2002,"BKN","Nets",1600.9496,1600.9496
2002,"BOS","Celtics",1620.6567,1620.6567
2002,"CHA","Hornets",1584.6842,1584.6842
2002,"CHI","Bulls",1336.7588,1336.7588
