"player","salary","year_end","team_id","fran_id","cap","per_cap","sal_2020"
"Adam Keefe",1650000,1996,"UTA","Jazz",2.3e+07,0.0717391304347826,7829608.69565217
"Adam Keefe",1950000,1997,"UTA","Jazz",24363000,0.080039404014284,8735500.55411895
"Adam Keefe",2300000,1998,"UTA","Jazz",26900000,0.0855018587360595,9331672.86245353
"Adam Keefe",2650000,1999,"UTA","Jazz",3e+07,0.0883333333333333,9640700
"Adam Keefe",3390000,2001,"GSW","Warriors",35500000,0.0954929577464789,10422101.4084507
"Adam Morrison",4159200,2009,"LAL","Lakers",58680000,0.070879345603272,7735771.7791411
"Adam Morrison",5257229,2010,"LAL","Lakers",57700000,0.0911131542461005,9944089.65441941
"Adonal Foyle",1495000,1998,"GSW","Warriors",26900000,0.0555762081784387,6065587.3605948
"Adonal Foyle",1701000,1999,"GSW","Warriors",3e+07,0.0567,6188238
"Adonal Foyle",1922520,2000,"GSW","Warriors",3.4e+07,0.0565447058823529,6171289.2
"Adonal Foyle",3580000,2001,"GSW","Warriors",35500000,0.100845070422535,11006230.9859155
"Adonal Foyle",4400000,2002,"GSW","Warriors",42500000,0.103529411764706,11299200
"Adonal Foyle",4400000,2003,"GSW","Warriors",40271000,0.109259765091505,11924610.7620869
"Adonal Foyle",4400000,2004,"GSW","Warriors",43840000,0.10036496350365,10953832.1167883
"Adonal Foyle",6500000,2005,"GSW","Warriors",43870000,0.1481650330522,16170731.7073171
"Adonal Foyle",7312500,2006,"GSW","Warriors",49500000,0.147727272727273,16122954.5454545
"Adonal Foyle",8125000,2007,"GSW","Warriors",53135000,0.152912392961325,16688858.567799
"Adonal Foyle",8937500,2008,"GSW","Warriors",55630000,0.160659715980586,17534401.4021212
"Adonal Foyle",1219590,2008,"ORL","Magic",55630000,0.0219232428545749,2392702.7251483
"Adonal Foyle",1262275,2009,"MEM","Grizzlies",58680000,0.0215111622358555,2347728.24642127
"Adonal Foyle",1306455,2010,"ORL","Magic",57700000,0.0226422010398614,2471169.82149047
"Adonis Jordan",350000,1999,"MIL","Bucks",3e+07,0.0116666666666667,1273300
"Adonis Thomas",60000,2016,"DET","Pistons",7e+07,0.000857142857142857,93548.5714285714
"Adreian Payne",1855320,2015,"MIN","Timberwolves",63065000,0.0294191706969,3210808.28985967
"Adreian Payne",1938840,2016,"MIN","Timberwolves",7e+07,0.0276977142857143,3022928.53714286
"Adreian Payne",2022240,2017,"MIN","Timberwolves",94143000,0.0214805136866257,2344383.26375833
"Adrian Caldwell",275000,1991,"HOU","Rockets",11871000,0.0231656979192991,2528304.27091231
"Adrian Caldwell",150000,1995,"HOU","Rockets",15964000,0.00939614131796542,1025494.86344275
"Adrian Caldwell",225000,1996,"IND","Pacers",2.3e+07,0.00978260869565217,1067673.91304348
"Adrian Caldwell",20000,1998,"CLE","Cavaliers",26900000,0.000743494423791822,81144.9814126394
"Adrian Dantley",4e+05,1991,"MIL","Bucks",11871000,0.0336955606098896,3677533.48496336
"Adrian Griffin",385000,2000,"BOS","Celtics",3.4e+07,0.0113235294117647,1235850
"Adrian Griffin",498500,2001,"BOS","Celtics",35500000,0.0140422535211268,1532571.54929577
"Adrian Griffin",565850,2002,"DAL","Mavericks",42500000,0.0133141176470588,1453102.8
"Adrian Griffin",637435,2003,"DAL","Mavericks",40271000,0.0158286359911599,1727537.33207519
"Adrian Griffin",751179,2004,"HOU","Rockets",43840000,0.0171345574817518,1870065.60355839
"Adrian Griffin",768718,2006,"DAL","Mavericks",49500000,0.0155296565656566,1694906.71757576
"Adrian Griffin",1475000,2007,"CHI","Bulls",53135000,0.0277594805683636,3029669.7092312
"Adrian Griffin",1593000,2008,"OKC","Thunder",55630000,0.0286356282581341,3125292.46809276
"Adrian Griffin",1711000,2009,"MIL","Bucks",58680000,0.0291581458759373,3182320.0408998
"Akil Mitchell",150000,2015,"HOU","Rockets",63065000,0.00237849837469278,259589.31261397
"Al Harrington",797880,2001,"IND","Pacers",35500000,0.0224754929577465,2452975.30140845
"Al Harrington",1436982,2002,"IND","Pacers",42500000,0.0338113411764706,3690169.776
"Al Harrington",5060000,2003,"IND","Pacers",40271000,0.125648729855231,13713302.3763999
"Al Harrington",5692500,2004,"IND","Pacers",43840000,0.129847171532847,14171520.3010949
"Al Harrington",6325000,2005,"ATL","Hawks",43870000,0.144175974470025,15735365.8536585
"Al Harrington",6957500,2006,"ATL","Hawks",49500000,0.140555555555556,15340233.3333333
"Al Harrington",7625000,2007,"GSW","Warriors",53135000,0.14350239954832,15661851.8867037
"Al Harrington",8425625,2008,"GSW","Warriors",55630000,0.151458295883516,16530158.4127269
"Al Harrington",9226250,2009,"NYK","Knicks",58680000,0.157229890933879,17160070.2965235
"Al Harrington",10026875,2010,"NYK","Knicks",57700000,0.173775996533795,18965912.2616984
"Al Harrington",5765000,2011,"DEN","Nuggets",58044000,0.0993212046034043,10839916.2704155
"Al Harrington",6226200,2012,"DEN","Nuggets",58044000,0.107266900971677,11707109.5720488
"Al Harrington",6687400,2013,"ORL","Magic",58044000,0.115212597339949,12574302.873682
"Al Harrington",3574300,2014,"ORL","Magic",58679000,0.0609127626578503,6648018.91647779
